lac,lan,subindex1,subindex2,subindex3,subindex4,subindex5,index
E07000076,Tendring,21.150499,11.596526,7.5521684,8.2495832,4.7715554,53.320332
E07000010,Fenland,23.826618,12.459624,7.0501852,6.163269,6.2944369,55.794132
E07000137,East Lindsey,20.267143,10.775958,8.8005972,11.045797,5.6699276,56.559425
E07000168,Scarborough,17.12875,14.064179,10.660555,9.9068365,5.9778786,57.738197
E07000145,Great Yarmouth,25.63204,10.769369,11.070766,6.240653,6.597527,60.310356
E07000146,King's Lynn and West Norfolk,22.45463,14.001606,8.6363802,9.0951614,6.6475849,60.835361
E07000136,Boston,24.994793,12.0257,9.1297045,8.7606831,7.2793674,62.190247
E07000114,Thanet,28.24901,11.680799,9.012784,6.744256,7.1077614,62.794609
E07000043,North Devon,16.819479,19.451385,11.408209,8.3480778,7.1541533,63.181305
E07000046,Torridge,19.171532,16.508774,12.43729,8.7042456,6.5269656,63.348808
E07000112,Folkestone and Hythe,22.157257,18.291687,7.5304055,9.1835651,6.8900867,64.053001
E07000147,North Norfolk,22.768711,15.470324,8.9983721,10.016839,7.7209582,64.975204
E06000012,North East Lincolnshire,36.311565,11.28397,6.8615022,6.8483415,5.4045649,66.709946
E07000108,Dover,25.293089,18.691927,7.7818904,7.7818203,7.1681123,66.716843
E06000046,Isle of Wight,23.178583,16.60231,11.08177,8.4702568,7.5033693,66.836288
E07000045,Teignbridge,22.915573,22.141138,5.930881,10.178785,5.7600756,66.926453
E07000143,Breckland,26.297625,17.013262,9.4993057,8.1302462,6.0112691,66.951706
E06000027,Torbay,29.293339,14.810038,9.5021372,7.2857533,6.2014961,67.092766
E08000017,Doncaster,35.677887,10.449801,7.0752501,8.36026,5.5651169,67.128319
E07000064,Rother,22.406015,19.7055,9.5905857,9.8785563,5.5719128,67.152573
E06000010,Kingston upon Hull,37.438892,10.076751,7.5765352,5.6345191,6.8034372,67.530136
E07000239,Wyre Forest,30.623919,12.236487,9.2236671,9.0279245,6.7681632,67.880157
E07000140,South Holland,28.649574,14.980441,8.9660282,9.2776194,6.112915,67.98658
E07000113,Swale,26.973036,17.762356,9.8834314,8.1915712,5.2289333,68.03933
E08000032,Bradford,30.494759,11.261472,9.6513948,9.0767107,7.732264,68.216599
E07000244,East Suffolk,25.404682,18.124992,10.247087,7.7435369,6.7314835,68.251785
E07000138,Lincoln,31.811863,15.926641,9.369462,6.1435766,5.133945,68.38549
E07000047,West Devon,21.460476,19.615156,10.131041,9.9665756,7.332098,68.505348
E06000052,Cornwall,22.057255,18.052986,12.006392,8.097683,8.7413559,68.955673
E06000021,Stoke-on-Trent,36.741314,9.4652643,8.6071272,8.1525087,6.3092637,69.275475
E07000062,Hastings,29.546858,14.314157,12.140007,6.5993485,6.8125176,69.412888
E07000080,Forest of Dean,24.569038,21.060467,10.366197,8.2029991,5.3350663,69.533768
E07000188,Sedgemoor,25.567474,20.070553,10.687852,7.8808584,5.3439569,69.550697
E07000122,Pendle,33.754852,13.794828,7.6640234,9.5379591,4.8275628,69.579224
E06000003,Redcar and Cleveland,32.838039,12.719418,6.8777857,11.225596,5.9828706,69.643707
E06000019,Herefordshire,21.894964,18.944256,12.100245,8.0555067,8.7372704,69.732239
E07000246,Somerset West and Taunton,20.966755,21.335733,12.646938,9.2615385,5.5243587,69.735321
E07000193,East Staffordshire,31.280695,16.543411,6.2638845,8.9632683,6.8497682,69.901024
E06000002,Middlesbrough,35.859039,12.012745,8.1496754,8.4176369,5.559864,69.998962
E06000013,North Lincolnshire,33.782005,14.719311,5.7238436,10.513696,5.9878221,70.726677
E07000026,Allerdale,26.164593,18.353134,10.608328,10.649259,5.0246792,70.799995
E07000090,Havant,28.243517,20.445429,9.699749,7.7880602,4.8574486,71.034203
E07000224,Arun,27.31922,19.99225,9.4681864,7.0362554,7.218895,71.034805
E06000051,Shropshire,23.203535,19.129036,10.84417,10.705549,7.6143208,71.496613
E07000028,Carlisle,26.843838,18.047583,12.27602,9.534935,5.0123596,71.714737
E07000148,Norwich,31.308685,16.554674,11.840111,5.8677201,6.2687583,71.839951
E07000042,Mid Devon,22.209377,22.863735,10.808315,7.8708963,8.1196575,71.871979
E08000018,Rotherham,37.926945,11.224926,8.2937927,8.7351294,5.7135038,71.894295
E08000019,Sheffield,30.784712,15.153001,10.314892,7.478292,8.5473747,72.278275
E07000142,West Lindsey,26.870872,19.409506,8.7017813,11.070574,6.4045687,72.457306
E08000030,Walsall,32.680683,9.2267132,10.619,11.383029,8.5526447,72.462067
E08000033,Calderdale,30.550333,18.995581,9.7804594,7.9349709,5.2435908,72.504936
E06000031,Peterborough,31.517437,17.544285,9.6636448,8.1750603,5.908567,72.80899
E07000202,Ipswich,33.541706,15.047722,11.394216,5.8159227,7.1876287,72.987198
